OBJECTID;estacion;Nom_Est;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;Porc_datos;Celda_XY;Cont_celda;Depto;Mpio;AH;ZSZH;x;y;NombrEst;NOMBRE_VER;SUBREGION
26792;11010010;VUELTALA;49;84;94;80;87;64;43;97;97;17;3;34;37;50;17;46;59;69;43;76;2;77;100;84;77;16;55;21;48;14;94;48;78;77;32;11;88;79;19;88;27;30;3;74;91;60;59;12;92;21;87;71;78;(3-4);5;Chocó;Cértegui;Caribe;DariénRíoAndágueda;4607247,584000;2162360,662000;VUELTA LA [11010010];SIN DEFINIR;
26553;11020010;CARMENDEATRATO;81;77;18;61;99;41;21;47;50;54;27;50;73;5;56;98;94;81;21;9;27;93;36;33;53;75;61;61;73;96;93;79;14;83;96;38;91;41;7;50;41;8;76;25;59;95;91;75;81;71;23;90;100;(4-5);12;Chocó;ElCarmen;Caribe;DariénAltoAtrato;4652177,228000;2211863,751000;CARMEN DE ATRATO [11020010];LA ARGELIA;
26694;11020020;GUADUAS;75;32;81;14;64;91;31;10;40;89;89;75;44;57;21;14;3;43;25;36;43;19;71;94;77;9;60;25;16;32;100;28;41;46;31;26;46;59;89;66;59;99;11;88;7;84;27;11;5;48;92;71;42;(3-4);5;Chocó;ElCarmen;Caribe;DariénAltoAtrato;4647517,517000;2196190,599000;GUADUAS [11020020];EL 10;
26786;11020050;PINONEL;79;95;44;78;28;92;12;79;21;21;24;37;7;6;75;50;57;61;75;92;68;23;87;29;39;36;9;32;54;69;63;49;50;70;2;92;9;75;25;89;21;34;3;43;29;52;52;38;72;61;55;7;95;(3-4);5;Chocó;ElCarmen;Caribe;DariénAltoAtrato;4640026,816000;2195236,819000;PINON EL [11020050];CAUDUAS;
26616;11025010;MANSALA;17;15;16;1;11;32;48;41;70;10;88;79;42;11;51;4;82;0;40;3;43;73;13;93;44;44;87;53;32;37;2;97;86;25;5;1;25;26;50;19;33;65;19;83;48;65;68;88;7;5;5;86;91;(4-5);12;Antioquia;CiudadBolivar;Caribe;DariénAltoAtrato;4658557,690000;2208483,669000;MANSA LA [11025010];MONTE LORO;
24532;11030010;CERTEGUI;33;8;52;51;75;86;40;5;46;89;8;73;8;4;16;32;85;77;41;44;7;21;91;67;86;10;6;19;90;87;66;21;33;43;26;71;46;66;46;59;100;79;69;99;26;13;23;8;13;26;55;25;94;(3-3);7;Chocó;Cértegui;Caribe;DariénRíoQuito;4599604,917000;2153115,118000;CERTEGUI [11030010];CERTEGUI;
24537;11030030;MANAGRU;96;51;87;9;69;93;89;41;12;28;21;21;50;52;33;19;84;98;3;94;98;14;30;23;26;14;55;70;24;66;30;84;74;80;67;63;12;32;97;34;3;4;46;12;64;16;59;72;45;92;42;54;72;(2-3);6;Chocó;ElCantónDelSanPablo(Managrú);Caribe;DariénRíoQuito;4586812,799000;2148667,389000;MANAGRU [11030030];MANAGRU;
26030;11030040;PAIMADO;98;0;2;45;35;32;43;11;63;66;59;43;66;89;4;6;48;91;34;48;22;65;31;88;47;68;91;37;87;83;71;23;82;30;0;10;67;81;50;23;26;67;35;76;56;61;10;81;93;87;38;17;76;(3-3);7;Chocó;RioQuito(Paimadó);Caribe;DariénRíoQuito;4585501,429000;2165002,327000;PAIMADO [11030040];SIN DEFINIR;
26598;11035010;LLORO;49;53;47;71;30;66;63;47;25;69;96;87;24;42;8;52;26;42;69;64;51;81;72;98;91;6;84;89;41;34;21;1;44;31;63;60;31;43;86;90;69;74;14;3;91;23;73;20;20;14;0;97;66;(3-4);5;Chocó;Lloró;Caribe;DariénRíoQuito;4603367,623000;2168036,175000;LLORO [11035010];SIN DEFINIR;
26119;11035020;SANISIDRO;5;70;10;60;80;28;100;9;4;98;37;65;76;59;45;15;62;82;85;1;14;16;22;2;45;57;39;25;48;44;64;64;80;47;98;2;82;24;91;21;4;37;50;6;46;37;4;55;14;41;55;48;72;(3-3);7;Chocó;RioQuito(Paimadó);Caribe;DariénRíoQuito;4584619,738000;2181015,168000;SAN ISIDRO [11035020];SIN DEFINIR;
26001;11040010;TUTUNENDO;27;33;5;14;27;1;51;64;44;83;49;28;90;96;35;63;19;30;35;53;21;46;62;28;7;25;75;88;69;8;65;15;86;1;28;98;17;41;40;57;20;49;41;45;75;15;59;47;81;77;99;98;98;(3-4);5;Chocó;Quibdó;Caribe;DariénRíoBebaramáyotrosDirectosAtrato(md);4608205,082000;2193870,091000;TUTUNENDO [11040010];TUTUNUENDO;
25864;11045010;AEROPUERTOELCARANO;16;84;17;81;67;64;87;82;2;84;27;53;94;43;39;29;86;22;67;42;62;10;36;6;96;76;25;19;9;18;4;82;22;51;44;18;87;76;56;58;1;98;86;62;95;80;7;1;76;100;33;48;95;(3-3);7;Chocó;Quibdó;Caribe;DariénRíoCabiyotrosDirectosAtrato(md);4596416,502000;2188069,706000;AEROPUERTO EL CARANO [11045010];SAN FRANCISCO DE QUIBDÖ;
